id,situacao,nome,geojson,acidentes_10m,acidentes_20m,acidentes_50m,acidentes_100m,acidentes_200m
83,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2328043276075,-30.0372737199158],[-51.2313283838786,-30.037402613876],[-51.2310754433908,-30.0374425244247],[-51.2308523479904,-30.0374992954596]]]}",0,0,0,0,0
84,CONCLUIDO,TIRADENTES,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2041490249603,-30.0377430290176],[-51.2040879152004,-30.0380408078008]]]}",0,0,0,0,0
85,CONCLUIDO,NILOPOLIS,"{""type"":""MultiLineString"",""coordinates"":[[[-51.189478129478,-30.0382182697522],[-51.1888901373978,-30.037987959511],[-51.1878301639211,-30.0374493609067]]]}",0,0,0,1,1
86,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2302133971417,-30.0378285435938],[-51.2297374225657,-30.0382341804948]]]}",0,0,0,0,0
87,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2272054330278,-30.0382994679876],[-51.2270925178941,-30.0382263696929],[-51.2269125196523,-30.038074455594],[-51.2260585106415,-30.0371580675132]]]}",0,0,0,2,5
88,CONCLUIDO,NILOPOLIS,"{""type"":""MultiLineString"",""coordinates"":[[[-51.191006104122,-30.0384077509778],[-51.1903441424805,-30.0383816482778],[-51.1901121162136,-30.0383560491333],[-51.189478129478,-30.0382182697522]]]}",1,1,1,1,1
89,CONCLUIDO,NILOPOLIS,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1919790901001,-30.0384300136782],[-51.191006104122,-30.0384077509778]]]}",0,0,0,1,1
90,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2297374225657,-30.0382341804948],[-51.2296083588114,-30.0383246130081],[-51.2293504466614,-30.0384581186541]]]}",0,0,0,0,0
91,CONCLUIDO,NEUSA GOULART BRIZOLA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1919790901001,-30.0384300136782],[-51.1931820735106,-30.0385173323394]]]}",0,0,0,0,1
92,CONCLUIDO,NEUSA GOULART BRIZOLA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1931820735106,-30.0385173323394],[-51.1945250670392,-30.0384612289011]]]}",0,0,0,0,0
93,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2293504466614,-30.0384581186541],[-51.2291173800386,-30.0385476044519]]]}",0,0,0,0,0
94,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2278944166407,-30.0385914492587],[-51.2276533760775,-30.0385242115189],[-51.2274733974088,-30.038452357114],[-51.2272054330278,-30.0382994679876]]]}",0,0,0,0,1
95,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2291173800386,-30.0385476044519],[-51.2287354419761,-30.0386384762959],[-51.2284213651221,-30.0386525528247]]]}",0,0,0,0,0
96,CONCLUIDO,LOUREIRO DA SILVA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2284213651221,-30.0386525528247],[-51.2282554825506,-30.0386528407601],[-51.2278944166407,-30.0385914492587]]]}",0,0,0,0,0
97,CONCLUIDO,NEUSA GOULART BRIZOLA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1945250670392,-30.0384612289011],[-51.1954589677471,-30.0386256002539],[-51.1959279810354,-30.0388910142839]]]}",0,0,0,0,1
98,CONCLUIDO,NEUSA GOULART BRIZOLA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1959279810354,-30.0388910142839],[-51.1972409524133,-30.0396242410781]]]}",0,0,0,1,1
99,CONCLUIDO,NEUSA GOULART BRIZOLA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1972409524133,-30.0396242410781],[-51.1975090366539,-30.0397771911702]]]}",0,0,0,0,1
100,CONCLUIDO,NEUSA GOULART BRIZOLA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.1975090366539,-30.0397771911702],[-51.1978169627025,-30.0398432566832],[-51.198005898257,-30.0398666514698]]]}",0,0,0,0,1
101,CONCLUIDO,TIRADENTES,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2040879152004,-30.0380408078008],[-51.2040778088447,-30.0380893096648],[-51.204096863833,-30.0398776391982]]]}",0,0,0,0,0
102,CONCLUIDO,SILVA SO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.204096863833,-30.0398776391982],[-51.2040849036521,-30.0406816296081]]]}",0,0,0,0,0
103,CONCLUIDO,IPIRANGA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2061797637471,-30.0437589382728],[-51.205853817608,-30.0436049690687],[-51.2054098449237,-30.0434861387714],[-51.2053148876324,-30.043475011272]]]}",0,0,0,0,0
104,CONCLUIDO,ERICO VERISSIMO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2184946068869,-30.0469921527334],[-51.2183905533571,-30.0475628852526]]]}",0,0,0,1,1
105,CONCLUIDO,SILVA SO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2040849036521,-30.0406816296081],[-51.2041108753719,-30.0419715524748],[-51.2041378594062,-30.0422534079668]]]}",0,0,0,0,1
106,CONCLUIDO,SILVA SO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2041378594062,-30.0422534079668],[-51.2041019484152,-30.0423583297804],[-51.2040239356602,-30.0430259840539]]]}",0,0,0,0,1
107,CONCLUIDO,IPIRANGA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2046678776729,-30.0430170904714],[-51.2040239356602,-30.0430259840539]]]}",0,0,0,0,1
108,CONCLUIDO,IPIRANGA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2053148876324,-30.043475011272],[-51.2046838988214,-30.0434816322619]]]}",0,0,0,0,0
109,CONCLUIDO,ERICO VERISSIMO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2202955682824,-30.0443145075833],[-51.2199975400042,-30.0445619487569]]]}",0,0,0,0,1
110,CONCLUIDO,ERICO VERISSIMO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2199975400042,-30.0445619487569],[-51.2199115160866,-30.044635385825]]]}",0,0,0,0,1
111,CONCLUIDO,IPIRANGA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2082197964408,-30.0449599906039],[-51.2069158365273,-30.0441919043578]]]}",0,0,0,0,1
112,CONCLUIDO,IPIRANGA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2095657697028,-30.0457437826519],[-51.2082197964408,-30.0449599906039]]]}",0,0,0,0,1
113,CONCLUIDO,ERICO VERISSIMO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2199115160866,-30.044635385825],[-51.2195915453226,-30.0449245831893],[-51.2193206786692,-30.0452215910943],[-51.2190835415516,-30.0455343280677],[-51.2189026076091,-30.0458413334939]]]}",0,0,0,0,0
114,CONCLUIDO,ERICO VERISSIMO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2189026076091,-30.0458413334939],[-51.2187515762819,-30.0461178442498],[-51.2186035833831,-30.0465240222652]]]}",0,0,0,0,1
115,CONCLUIDO,ERICO VERISSIMO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2186035833831,-30.0465240222652],[-51.2185535577708,-30.0466876056956],[-51.2184946068869,-30.0469921527334]]]}",0,0,0,0,1
116,CONCLUIDO,IPIRANGA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2137517391637,-30.0472683124715],[-51.2134367071225,-30.0472282305894],[-51.2131567681151,-30.0471587739172],[-51.2128787279936,-30.0470678896017],[-51.21260272892,-30.0469465567125],[-51.2121326715977,-30.0466857150502]]]}",0,0,1,2,2
117,CONCLUIDO,AZENHA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2137517391637,-30.0472683124715],[-51.21365165942,-30.0477409345588]]]}",0,0,1,1,1
118,CONCLUIDO,ERICO VERISSIMO,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2183905533571,-30.0475628852526],[-51.2183375783895,-30.047859529068]]]}",0,0,1,1,1
119,CONCLUIDO,IPIRANGA,"{""type"":""MultiLineString"",""coordinates"":[[[-51.2147396912079,-30.0478778558211],[-51.21365165942,-30.0477409345588]]]}",0,0,0,1,1
